WebSocket transport not available. Install eventlet or gevent and gevent-websocket for improved performance.
 * Running on http://127.0.0.1:5001/ (Press CTRL+C to quit)
127.0.0.1 - - [15/Jul/2026 20:49:41] "GET /socket.io/?EIO=4&transport=polling&t=PzbqsTQ HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:49:46] "GET /socket.io/?EIO=4&transport=polling&t=Pzbqtmr HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:49:52] "GET /socket.io/?EIO=4&transport=polling&t=Pzbqv9E HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:49:58] "GET /socket.io/?EIO=4&transport=polling&t=Pzbqwcz HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:50:04] "GET /socket.io/?EIO=4&transport=polling&t=Pzbqy4t HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:50:10] "GET /socket.io/?EIO=4&transport=polling&t=PzbqzYe HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:50:16] "GET /socket.io/?EIO=4&transport=polling&t=Pzbq_0I HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:50:22] "GET /socket.io/?EIO=4&transport=polling&t=Pzbr0UO HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:50:28] "GET /socket.io/?EIO=4&transport=polling&t=Pzbr1yH HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:50:34] "GET /socket.io/?EIO=4&transport=polling&t=Pzbr3Pa HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:50:40] "GET /socket.io/?EIO=4&transport=polling&t=Pzbr4tP HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:50:46] "GET /socket.io/?EIO=4&transport=polling&t=Pzbr6L5 HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:50:52] "GET /socket.io/?EIO=4&transport=polling&t=Pzbr7oh HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:50:58] "GET /socket.io/?EIO=4&transport=polling&t=Pzbr9Gf HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:51:04] "GET /socket.io/?EIO=4&transport=polling&t=PzbrAkN HTTP/1.1" 200 -
